# delta25_dump_50uM: integrated injection heats (ucal) and injection volumes (uL).
# Public source: eLife 2022 (Bonin, Sapienza, Lee), Appendix 1 Figure 3 source data A1F3SD2; Dryad doi:10.5061/dryad.j9kd51cfx.
# Integrated from the raw MicroCal .itc trace (tail-median baseline + trapezoid; first-pass reduction).
-0.715835	0.2
-5.60212	1
-5.75921	1
-5.61331	1
-5.24371	1
-5.13154	1
-4.98348	1
-5.09529	1
-4.88282	1
-4.40933	1
-4.33785	1
-4.21786	1
-3.61737	1
-3.26879	1
-2.71731	1
-2.44556	1
-2.26381	1
-1.537	1
-1.54604	1
-1.13823	1
-1.04867	1
-0.806995	1
-0.718275	1
-0.651545	1
-0.19131	1
-0.36071	1
-0.29997	1
-0.222285	1
-0.148205	1
-0.250335	1
-0.29382	1
-0.17411	1
-0.227385	1
-0.015215	1
-0.19317	1
-0.08464	1
-0.07448	1
-0.134195	1
-0.030195	1
